NDFC,SPEC,SITE,Length_cm,DATE,TIME,METHOD,SEX,SizeDiameter_mm,LensDiameter_mm,LensT50,rel_eye,combi
117,BL,BAV,12.923,6/23/22,AM,AN,F,10.526,4.678,402,0.08145167530759112,BLBAV
118,BL,BAV,12.175,6/23/22,AM,AN,F,9.504,3.802,400.8,0.07806160164271046,BLBAV
119,PK,BAV,11.841,6/23/22,AM,AN,M,9.352,3.642,401.8,0.07897981589392788,PKBAV
120,BL,BAV,11.974,6/23/22,AM,AN,M,10.154,4.062,400.3,0.08480040086854851,BLBAV
121,PK,BAV,11.973,6/23/22,AM,AN,M,8.462,3.65,402.5,0.07067568696233191,PKBAV
123,LB,BAV,22.529,6/23/22,AM,AN,M,10.206,4.639,405.6,0.0453016112566026,LBBAV
124,BL,BAV,14.116,6/23/22,AM,AN,F,10.984,5.02,NA,0.07781241144800227,BLBAV
128,BL,BAV,11.867,6/23/22,AM,AN,M,10,4.706,NA,0.08426729586247576,BLBAV
129,RB,BAV,13.457,6/23/22,AM,AN,M,12.87,5.401,402.7,0.09563795794010552,RBBAV
130,RB,BAV,12.091,6/23/22,AM,AN,M,10.898,4.268,403,0.09013315689355719,RBBAV
131,BL,BAV,12.237,6/23/22,AM,AN,M,NA,NA,NA,NA,BLBAV
132,LB,BAV,22.939,6/24/22,AM,AN,M,10.911,4.646,408.5,0.04756528183443045,LBBAV
135,RB,BAV,15.525,6/24/22,AM,AN,M,NA,NA,NA,NA,RBBAV
137,PK,BAV,12.333,6/24/22,AM,AN,F,NA,NA,NA,NA,PKBAV
138,BL,BAV,14.737,6/24/22,AM,AN,F,12.193,4.649,NA,0.08273732781434484,BLBAV
139,PK,BAV,11,6/24/22,AM,AN,M,9.457,3.614,NA,0.08597272727272728,PKBAV
141,PK,CRANBERRY,10.551,6/27/22,AM,AN,M,7.779,3.556,401,0.07372760875746374,PKCRANBERRY
142,PK,CRANBERRY,10.604,6/27/22,AM,AN,M,9.061,3.26,401.1,0.08544888721237269,PKCRANBERRY
143,PK,CRANBERRY,11.07,6/27/22,AM,AN,F,8.452,3.621,403.1,0.07635049683830171,PKCRANBERRY
145,BL,CRANBERRY,9.51,6/27/22,AM,AN,M,NA,NA,NA,NA,BLCRANBERRY
146,PK,CRANBERRY,11.316,6/27/22,AM,AN,M,9.157,3.576,NA,0.08092082007776599,PKCRANBERRY
148,BL,CRANBERRY,7.596,6/27/22,AM,AN,M,NA,NA,NA,NA,BLCRANBERRY
149,BL,CRANBERRY,9.059,6/27/22,AM,AN,M,NA,NA,NA,NA,BLCRANBERRY
150,BL,CRANBERRY,15.611,6/28/22,AM,AN,F,9.123,3.947,403.4,0.05843956184741528,BLCRANBERRY
151,BL,CRANBERRY,14.07,6/28/22,AM,AN,M,10.43,4.272,403.8,0.07412935323383085,BLCRANBERRY
152,BL,CRANBERRY,14.692,6/28/22,AM,AN,F,10.636,3.909,401.3,0.07239313912333241,BLCRANBERRY
153,BL,CRANBERRY,9.333,6/28/22,AM,AN,M,7.571,3.057,NA,0.08112075431265402,BLCRANBERRY
154,BL,CRANBERRY,10.674,6/28/22,AM,AN,F,7.899,2.996,NA,0.07400224845418775,BLCRANBERRY
155,BL,CRANBERRY,11.25,6/28/22,AM,AN,M,8.199,3.82,NA,0.07288,BLCRANBERRY
157,RB,CRANBERRY,12.364,6/29/22,AM,AN,M,NA,NA,NA,NA,RBCRANBERRY
160,PK,CRANBERRY,10.163,6/29/22,AM,FN,M,7.634,3.181,NA,0.07511561546787367,PKCRANBERRY
169,RB,CRANBERRY,11.489,6/29/22,AM,FN,F,11.064,4.397,401.7,0.09630080946992775,RBCRANBERRY
187,PK,BAV,12.913,07/05/2022,PM,AN,M,7.933,3.466,NA,0.06143421358321072,PKBAV
188,BL,BAV,13.062,07/05/2022,PM,AN,F,NA,NA,NA,NA,BLBAV
189,LB,BAV,25.194,07/05/2022,PM,AN,M,11.181,4.566,NA,0.04437961419385568,LBBAV
191,PK,BAV,13.976,07/05/2022,PM,AN,M,9.507,4.053,NA,0.06802375500858614,PKBAV
193,RB,BAV,12.357,07/05/2022,PM,AN,F,10.899,4.656,NA,0.08820101966496723,RBBAV
195,RB,BAV,15.25,07/05/2022,PM,AN,M,12.929,5.404,NA,0.08478032786885246,RBBAV
197,BL,BAV,14.448,07/05/2022,PM,AN,M,NA,NA,NA,NA,BLBAV
198,LB,BAV,27.067,07/06/2022,PM,AN,F,NA,NA,NA,NA,LBBAV
199,PK,BAV,11.818,07/06/2022,PM,AN,M,8.0029,3.1322,NA,0.0677178879675072,PKBAV
200,RB,BAV,12.795,07/07/2022,PM,FN,M,13.605,5.34,NA,0.1063305978898007,RBBAV
201,PK,BAV,12.875,07/07/2022,PM,FN,M,9.081,3.486,NA,0.07053203883495145,PKBAV
202,CR,BAV,21.783,07/08/2022,PM,FN,M,13.793,5.172,400.3,0.06332002019923794,CRBAV
203,CR,CRANBERRY,17.654,07/11/2022,AM,AN,M,NA,NA,NA,NA,CRCRANBERRY
204,RB,CRANBERRY,12.306,07/11/2022,AM,AN,M,NA,NA,NA,NA,RBCRANBERRY
205,PK,CRANBERRY,11.03,07/11/2022,AM,AN,M,8.457,3.21,NA,0.07667271078875794,PKCRANBERRY
206,RB,CRANBERRY,18.036,07/12/2022,AM,AN,M,15.262,6.628,401.5,0.08461964958970947,RBCRANBERRY
207,SB,CRANBERRY,23.957,7/13/22,AM,AN,M,11.937,4.683,403.5,0.049826772968234755,SBCRANBERRY
209,CR,CRANBERRY,15.355,7/13/22,AM,AN,M,10.82,4.563,401.7,0.07046564636926082,CRCRANBERRY
211,RB,CRANBERRY,12.152,7/14/22,AM,FN,M,NA,NA,NA,NA,RBCRANBERRY
212,RB,CRANBERRY,11.125,7/14/22,AM,FN,M,NA,NA,NA,NA,RBCRANBERRY
213,RB,CRANBERRY,13.722,7/14/22,AM,FN,M,10.955,4.719,404.1,0.07983530097653403,RBCRANBERRY
214,PK,CRANBERRY,12.657,7/15/22,AM,AN,M,8.467,3.467,NA,0.06689578889152248,PKCRANBERRY
215,LB,CRANBERRY,20,7/15/22,PM,AN,F,11.062,4.248,405.4,0.05531,LBCRANBERRY
216,LB,CRANBERRY,22.556,7/15/22,PM,AN,M,12.061,4.497,402,0.05347136017024295,LBCRANBERRY
217,LB,CRANBERRY,25.72,7/15/22,PM,AN,F,13.208,5.283,401.4,0.05135303265940902,LBCRANBERRY
218,CR,CRANBERRY,18.852,7/15/22,AM,AN,M,11.521,5.103,404.2,0.06111287927010397,CRCRANBERRY
262,SB,BAV,22.338,7/18/22,PM,AN,F,10.783,4.885,404.4,0.048272002865072966,SBBAV
269,LB,BAV,20.189,7/19/22,AM,AN,F,10.031,3.846,404.1,0.0496854722868889,LBBAV
273,PK,BAV,15.228,7/20/22,AM,FN,M,NA,NA,NA,NA,PKBAV
274,RB,BAV,15.228,7/20/22,AM,FN,F,12.368,6.199,403.1,0.08121880745994221,RBBAV
276,CR,BAV,7.571,7/20/22,AM,FN,M,6.287,3.099,403.3,0.08304054946506406,CRBAV
277,CR,BAV,13.614,7/20/22,AM,FN,U,NA,NA,NA,NA,CRBAV
278,PK,BAV,14.361,7/21/22,AM,FN,M,NA,NA,NA,NA,PKBAV
279,CR,BAV,14.361,7/21/22,AM,FN,M,9.896,4.444,NA,0.06890885035861012,CRBAV
